Entity,Code,Year,total_corporate_investment_by_activity_inflation_adjusted
Merger/Acquisition,,2013,502030598
Merger/Acquisition,,2014,235317046
Merger/Acquisition,,2015,2080276421
Merger/Acquisition,,2016,3103646339
Merger/Acquisition,,2017,24865650373
Merger/Acquisition,,2018,4681294443
Merger/Acquisition,,2019,21640139652
Merger/Acquisition,,2020,22544463854
Merger/Acquisition,,2021,72029082206
Minority Stake,,2013,1627857033
Minority Stake,,2014,306563217
Minority Stake,,2015,3907871573
Minority Stake,,2016,1330880679
Minority Stake,,2017,1315533487
Minority Stake,,2018,1173020057
Minority Stake,,2019,2157022952
Minority Stake,,2020,46131329913
Minority Stake,,2021,1325140764
Private Investment,,2013,3183046827
Private Investment,,2014,6776476229
Private Investment,,2015,10267203267
Private Investment,,2016,17759876935
Private Investment,,2017,25528250944
Private Investment,,2018,38045072739
Private Investment,,2019,45122475977
Private Investment,,2020,48163801731
Private Investment,,2021,93535757202
Public Offering,,2013,768990646
Public Offering,,2014,26073083145
Public Offering,,2015,876308954
Public Offering,,2016,192771043
Public Offering,,2017,616038564
Public Offering,,2018,5280692853
Public Offering,,2019,2072835719
Public Offering,,2020,8313734670
Public Offering,,2021,9576755629
