Entity,Code,Year,number_new_cs_phds_by_specialty
Artificial intelligence/machine learning,,2010,161
Artificial intelligence/machine learning,,2011,159
Artificial intelligence/machine learning,,2012,171
Artificial intelligence/machine learning,,2013,138
Artificial intelligence/machine learning,,2014,144
Artificial intelligence/machine learning,,2015,138
Artificial intelligence/machine learning,,2016,233
Artificial intelligence/machine learning,,2017,218
Artificial intelligence/machine learning,,2018,266
Artificial intelligence/machine learning,,2019,286
Artificial intelligence/machine learning,,2020,277
Computing education,,2010,0
Computing education,,2011,0
Computing education,,2012,0
Computing education,,2013,0
Computing education,,2014,0
Computing education,,2015,0
Computing education,,2016,16
Computing education,,2017,12
Computing education,,2018,9
Computing education,,2019,15
Computing education,,2020,9
Databases/information retrieval,,2010,73
Databases/information retrieval,,2011,66
Databases/information retrieval,,2012,99
Databases/information retrieval,,2013,91
Databases/information retrieval,,2014,113
Databases/information retrieval,,2015,94
Databases/information retrieval,,2016,87
Databases/information retrieval,,2017,86
Databases/information retrieval,,2018,84
Databases/information retrieval,,2019,87
Databases/information retrieval,,2020,85
Graphics/visualization,,2010,73
Graphics/visualization,,2011,93
Graphics/visualization,,2012,77
Graphics/visualization,,2013,80
Graphics/visualization,,2014,87
Graphics/visualization,,2015,82
Graphics/visualization,,2016,83
Graphics/visualization,,2017,78
Graphics/visualization,,2018,84
Graphics/visualization,,2019,68
Graphics/visualization,,2020,64
Hardware/architecture,,2010,46
Hardware/architecture,,2011,44
Hardware/architecture,,2012,57
Hardware/architecture,,2013,57
Hardware/architecture,,2014,69
Hardware/architecture,,2015,56
Hardware/architecture,,2016,54
Hardware/architecture,,2017,56
Hardware/architecture,,2018,37
Hardware/architecture,,2019,38
Hardware/architecture,,2020,31
High performance computing,,2010,26
High performance computing,,2011,34
High performance computing,,2012,42
High performance computing,,2013,50
High performance computing,,2014,38
High performance computing,,2015,44
High performance computing,,2016,42
High performance computing,,2017,56
High performance computing,,2018,40
High performance computing,,2019,35
High performance computing,,2020,38
Human-computer interaction,,2010,32
Human-computer interaction,,2011,53
Human-computer interaction,,2012,52
Human-computer interaction,,2013,54
Human-computer interaction,,2014,37
Human-computer interaction,,2015,54
Human-computer interaction,,2016,41
Human-computer interaction,,2017,59
Human-computer interaction,,2018,43
Human-computer interaction,,2019,59
Human-computer interaction,,2020,70
Informatics: biomedical/other science,,2010,55
Informatics: biomedical/other science,,2011,51
Informatics: biomedical/other science,,2012,83
Informatics: biomedical/other science,,2013,45
Informatics: biomedical/other science,,2014,55
Informatics: biomedical/other science,,2015,67
Informatics: biomedical/other science,,2016,51
Informatics: biomedical/other science,,2017,32
Informatics: biomedical/other science,,2018,39
Informatics: biomedical/other science,,2019,46
Informatics: biomedical/other science,,2020,43
Information science,,2010,6
Information science,,2011,2
Information science,,2012,10
Information science,,2013,16
Information science,,2014,5
Information science,,2015,6
Information science,,2016,8
Information science,,2017,3
Information science,,2018,11
Information science,,2019,10
Information science,,2020,7
Information systems,,2010,14
Information systems,,2011,16
Information systems,,2012,27
Information systems,,2013,15
Information systems,,2014,37
Information systems,,2015,20
Information systems,,2016,10
Information systems,,2017,18
Information systems,,2018,18
Information systems,,2019,14
Information systems,,2020,36
Networks,,2010,115
Networks,,2011,112
Networks,,2012,110
